owner,sum_size,unique_packages,unique_resources,sum_ds_fields,sum_ds_n_rows
aafc-aac,8.5KB,8,26,112.0,255151.0
atssc-scdata,1.2KB,4,4,18.0,7.0
cbsa-asfc,95.1MB,3,6,28.0,1385266.0
cer-rec,2.3KB,1,1,4.0,23.0
cfia-acia,132.4MB,73,100,1358.0,851174.0
cic,464.2KB,2,2,18.0,4811.0
cnsc-ccsn,88.1MB,9,31,277.0,1115167.0
cra-arc,1.5GB,64,575,9593.0,26197960.0
csa-asc,187.5KB,2,3,29.0,781.0
csc-scc,20.2KB,1,14,14.0,1106.0
csec-cstc,9.6KB,12,14,129.0,156.0
csps-efpc,12.6MB,1,1,73.0,4776.0
dfatd-maecd,2.6MB,16,43,352.0,11463.0
dfo-mpo,411.1KB,1,2,19.0,2570.0
dnd-mdn,207.6MB,18,22,147.0,1200175.0
ec,0.0B,1,2,10.0,2646.0
elections,1.2MB,4,23,245.0,17030.0
esdc-edsc,532.8MB,47,581,10357.0,3497151.0
fin,533.5KB,6,14,122.0,2903.0
hc-sc,661.8MB,49,125,6913.0,858846.0
iaac-aeic,63.5MB,1,2,245.0,42384.0
ic,134.7KB,8,23,86.0,534.0
infc,152.6KB,1,2,22.0,1393.0
irb-cisr,1.2MB,2,17,68.0,75478.0
isc-sac,967.9KB,6,10,144.0,5276.0
lac-bac,2.6KB,8,8,36.0,37.0
nrc-cnrc,4.4MB,1,1,8.0,3554.0
nrcan-rncan,7.9GB,10,53,9151.0,4588312.0
opc-cpvp,1.5MB,7,13,1188.0,14647.0
osfi-bsif,5.9GB,9,74,1155.0,13614207.0
pc,641.4MB,462,943,12159.0,8363293.0
pch,2.2MB,7,9,152.0,31915.0
pco-bcp,310.6MB,2,3,149.0,487267.0
phac-aspc,647.4KB,4,47,1328.0,50474.0
psc-cfp,987.4MB,15,123,1873.0,5417875.0
pwgsc-tpsgc,13.5KB,1,1,10.0,42.0
rcmp-grc,72.0MB,1,1,21.0,350361.0
ssc-spc,6.9MB,16,40,344.0,67067.0
tbs-sct,6.6GB,56,207,2619.0,29294447.0
tc,260.3MB,14,39,628.0,1815625.0
vac-acc,260.7KB,3,12,59.0,3965.0
wd-deo,1.8KB,10,10,27.0,47.0
