owner_org,ati_all,ati_all_change_30-days,ati_all_change_90-days,ati_all_change_6-months,ati_nil,ati_nil_change_30-days,ati_nil_change_90-days,ati_nil_change_6-months,briefingt,briefingt_change_30-days,briefingt_change_90-days,briefingt_change_6-months,contracts,contracts_change_30-days,contracts_change_90-days,contracts_change_6-months,contracts_nil,contracts_nil_change_30-days,contracts_nil_change_90-days,contracts_nil_change_6-months,contractsa,contractsa_change_30-days,contractsa_change_90-days,contractsa_change_6-months,dac,dac_change_30-days,dac_change_90-days,dac_change_6-months,grants,grants_change_30-days,grants_change_90-days,grants_change_6-months,grants_nil,grants_nil_change_30-days,grants_nil_change_90-days,grants_nil_change_6-months,hospitalityq,hospitalityq_change_30-days,hospitalityq_change_90-days,hospitalityq_change_6-months,hospitalityq_nil,hospitalityq_nil_change_30-days,hospitalityq_nil_change_90-days,hospitalityq_nil_change_6-months,parliament_committee,parliament_committee_change_30-days,parliament_committee_change_90-days,parliament_committee_change_6-months,parliament_committee_deputy,parliament_committee_deputy_change_30-days,parliament_committee_deputy_change_90-days,parliament_committee_deputy_change_6-months,parliament_report,parliament_report_change_30-days,parliament_report_change_90-days,parliament_report_change_6-months,qpnotes,qpnotes_change_30-days,qpnotes_change_90-days,qpnotes_change_6-months,qpnotes_nil,qpnotes_nil_change_30-days,qpnotes_nil_change_90-days,qpnotes_nil_change_6-months,reclassification,reclassification_change_30-days,reclassification_change_90-days,reclassification_change_6-months,reclassification_nil,reclassification_nil_change_30-days,reclassification_nil_change_90-days,reclassification_nil_change_6-months,transition,transition_change_30-days,transition_change_90-days,transition_change_6-months,transition_deputy,transition_deputy_change_30-days,transition_deputy_change_90-days,transition_deputy_change_6-months,travela,travela_change_30-days,travela_change_90-days,travela_change_6-months,travelq,travelq_change_30-days,travelq_change_90-days,travelq_change_6-months,travelq_nil,travelq_nil_change_30-days,travelq_nil_change_90-days,travelq_nil_change_6-months,wrongdoing,wrongdoing_change_30-days,wrongdoing_change_90-days,wrongdoing_change_6-months,Total Original,Total Change 30-days,Total Change 90-days,Total Change 6-months
aafc-aac,1434,12,31.0,54.0,0,0,0.0,0.0,3684,47,119.0,267.0,18042,373,1054.0,1054.0,0,0,0.0,0.0,7,0,0.0,0.0,83,4,4.0,8.0,15965,0,0.0,290.0,0,0,0.0,0.0,30,0,0.0,0.0,65,1,3.0,6.0,0,0,0.0,0.0,0,0,0.0,0.0,4,0,0.0,0.0,260,35,35.0,35.0,0,0,0.0,0.0,335,5,5.0,30.0,3,0,0.0,0.0,2,0,1.0,1.0,1,0,0.0,0.0,9,0,0.0,0.0,1836,13,28.0,74.0,3,0,0.0,0.0,0,0,0.0,0.0,41763,490,1280.0,1819.0
aandc-aadnc,1851,0,66.0,92.0,0,0,0.0,0.0,6147,89,127.0,367.0,8901,120,120.0,223.0,1,0,0.0,0.0,0,0,0.0,0.0,102,0,0.0,8.0,20861,171,171.0,621.0,0,0,0.0,0.0,168,5,7.0,10.0,0,0,0.0,0.0,9,0,0.0,0.0,0,0,0.0,0.0,12,0,0.0,0.0,424,33,33.0,33.0,0,0,0.0,0.0,99,1,1.0,1.0,17,0,0.0,1.0,3,1,1.0,1.0,0,0,0.0,0.0,5,0,0.0,0.0,1889,12,41.0,155.0,0,0,0.0,0.0,0,0,0.0,0.0,40489,432,567.0,1512.0
acoa-apeca,218,2,3.0,6.0,13,0,1.0,2.0,946,9,41.0,90.0,2884,9,27.0,27.0,0,0,0.0,0.0,8,0,1.0,1.0,0,0,0.0,0.0,29365,174,174.0,911.0,0,0,0.0,0.0,226,1,1.0,2.0,0,0,0.0,0.0,0,0,0.0,0.0,13,0,0.0,0.0,20,1,1.0,1.0,6,0,0.0,0.0,0,0,0.0,0.0,190,0,0.0,0.0,14,1,1.0,2.0,0,0,0.0,0.0,3,0,0.0,0.0,4,0,0.0,0.0,3040,17,42.0,78.0,0,0,0.0,0.0,0,0,0.0,0.0,36950,214,292.0,1120.0
aecl-eacl,354,0,2.0,5.0,34,0,0.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,227,25,38.0,38.0,1,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,1323,113,135.0,135.0,1,0,0.0,0.0,0,0,0.0,0.0,1940,138,175.0,179.0
apa,9,0,0.0,4.0,28,2,3.0,4.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,5,0,5.0,5.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,42,2,8.0,13.0
apfc-fapc,14,0,0.0,0.0,58,4,5.0,9.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,72,4,5.0,9.0
atssc-scdata,110,0,5.0,5.0,31,0,0.0,2.0,186,5,23.0,30.0,1469,15,45.0,45.0,0,0,0.0,0.0,8,0,0.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,157,0,0.0,0.0,36,0,1.0,15.0,0,0,0.0,0.0,0,0,0.0,0.0,18,2,3.0,3.0,0,0,0.0,0.0,0,0,0.0,0.0,181,11,11.0,14.0,0,0,0.0,0.0,2,0,0.0,1.0,0,0,0.0,0.0,2,0,0.0,0.0,474,0,1.0,6.0,5,1,1.0,3.0,0,0,0.0,0.0,2679,34,90.0,125.0
bc,141,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,141,0,0.0,0.0
bctc-ctcb,7,0,0.0,2.0,31,0,2.0,4.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,38,0,2.0,6.0
bdc,97,-3,2.0,12.0,16,0,0.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,2,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,115,-3,2.0,13.0
