Page_URL,Downloads,day
open.canada.ca/data/en/dataset/90fed587-1364-4f33-a9ee-208181dc0b97,75.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/4ee7a4e0-ffc3-47af-94e7-30929d1eeb67,49.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/3aba681a-7883-45cf-8f66-7117d4bb15b5,38.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/800106c1-0b08-401e-8be2-ac45d62e662e,38.0,"Sep 1, 2026"
open.canada.ca/openmap/en.html,34.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/80c00cdb-1358-415c-bb8b-0de7f12675b8,31.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/8c205edb-9a82-468e-9aa4-b82266cbaad6,31.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/a9c18c37-b7b9-48ce-ac1d-b40a65bafa9e,30.0,"Sep 1, 2026"
ouvert.canada.ca/data/fr/dataset/90fed587-1364-4f33-a9ee-208181dc0b97,29.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/dc343c43-a592-4a27-8ee7-c77df56afb34,29.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/6abd20d4-7a1c-4b38-baa2-9525d0bb2fd2,25.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/b27ec3ef-7338-4e76-a6fd-128339a92df5/resource/945045fa-2de0-47d4-aad2-144d69467824,22.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/f5c8a5a0-354d-455a-99ab-8276aa38032e/resource/e5dcaf48-87d6-4ce1-b17a-35607916b640,22.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/dfa4daf1-669e-4514-82cd-982f27707ed0/resource/f015e958-829b-44bb-b201-641584b818dd,21.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/dfa4daf1-669e-4514-82cd-982f27707ed0,17.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/f7e5498e-0ad8-4417-85c9-9b8aff9b9eda,17.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/b166b1c1-0313-4706-8cca-f464f6fc7086,16.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/21db33b2-4ab1-5399-8bf6-8eb803a15fc0,16.0,"Sep 1, 2026"
ouvert.canada.ca/data/fr/dataset/dfa4daf1-669e-4514-82cd-982f27707ed0,16.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/91ed76b4-a1a2-4f87-9c4c-59cd64f7a9de,16.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/c962bb2e-b896-5113-9e55-23130d4e07a4,15.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/d24ae2dd-8399-4b49-8441-3e0318aaf69a/resource/33806abe-0317-4338-a4f8-88091b0511d7,15.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/f7e5498e-0ad8-4417-85c9-9b8aff9b9eda/resource/5582034d-8f89-49d5-8597-483d628078a1,15.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/5577f7aa-7a96-4c59-bc01-47ad54203930,15.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/91ed76b4-a1a2-4f87-9c4c-59cd64f7a9de/resource/d0f6040e-671c-4301-a235-e9e7ba164604,14.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/c44fc192-fd12-5463-90a9-c5afd9688dbc,14.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/0032ce54-c5dd-4b66-99a0-320a7b5e99f2,13.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/957782bf-847c-4644-a757-e383c0057995,13.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/ceb1ab5a-7d7c-4491-a2f7-560c47c4e22f/resource/648f0b3b-8d21-4373-94b4-72847dbf79a1,13.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/360024f2-17e9-4558-bfc1-3616485d65b9,12.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/b27ec3ef-7338-4e76-a6fd-128339a92df5,12.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/e8a3fc19-6016-4c90-a5c0-eb35233d708e/resource/692bb00b-a3f5-4c12-bd06-810d1425c518,12.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/7f5b2c8f-f3e8-47b2-a5b6-0f736f3613eb,12.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/ea639e28-c0fc-48bf-b5dd-b8899bd43072,11.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/dfa4daf1-669e-4514-82cd-982f27707ed0/resource/a2f5faf4-07fe-4a3c-9bd3-62bbf11a426f,11.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/791de1ec-7fc8-48f1-a4e4-8bbaebc67080/resource/a709204d-5d3f-4f35-8414-a567b37ec872,10.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/ceb1ab5a-7d7c-4491-a2f7-560c47c4e22f,9.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/90115b00-f9b8-49e8-afa3-b4cff8facaee,9.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/f5c8a5a0-354d-455a-99ab-8276aa38032e,9.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/90115b00-f9b8-49e8-afa3-b4cff8facaee/resource/b505b9bc-d375-4525-af39-afdf25639acf,9.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/9b286b9a-ba51-5cdb-99e1-880563949493,9.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/6abd20d4-7a1c-4b38-baa2-9525d0bb2fd2/resource/5870de7c-86fe-4d05-8d73-cd412e12fdeb,8.0,"Sep 1, 2026"
ouvert.canada.ca/data/fr/dataset/dfa4daf1-669e-4514-82cd-982f27707ed0/resource/f015e958-829b-44bb-b201-641584b818dd,8.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/3829eee9-f898-4643-9ad8-f48575b8873d,8.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/791de1ec-7fc8-48f1-a4e4-8bbaebc67080,8.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/4fe645a1-ffcd-40c1-9385-2c771be956a4,8.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/f82f66f2-a22b-4511-bccf-e1d74db39ae5/resource/1e854188-18c4-4cbe-b4e0-88561955fe05,8.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/dfa4daf1-669e-4514-82cd-982f27707ed0/resource/5d87eeb6-5305-4a0e-bc1d-fdf96e691749,8.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/f7e5498e-0ad8-4417-85c9-9b8aff9b9eda/resource/d1c1f4f3-2d7f-4e02-9a79-7af98209c2f3,8.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/06512c1b-d4a7-413f-bc1e-fc38de9f9aca,7.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/8dd8d51e-d7ef-53a2-b146-a1c55b61d183,7.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/98e56d84-011b-484c-8cb4-23c8c3db6ba1/resource/436a3785-c8b8-4a20-b6a2-bcbe68f45bcf,7.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/3f4ca79b-fcae-5fd6-909a-da95eb454ca5,7.0,"Sep 1, 2026"
ouvert.canada.ca/data/dataset/afec174b-1e9a-46e7-b820-2f16580131ad,7.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/59af1c96-fc8f-4fa0-b398-d65e953eadaa,7.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/e8a3fc19-6016-4c90-a5c0-eb35233d708e,7.0,"Sep 1, 2026"
ouvert.canada.ca/data/fr/dataset/6567ac46-558e-4c95-ab93-e8326ddf8f90,7.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/ae3edc42-a3df-5c48-ad3b-81ea28bb95be,6.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/3b7a821b-becc-4d96-9e39-0c2849f90c50,6.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/49362e40-ae80-58cb-ab3b-ac3366549758,6.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/957782bf-847c-4644-a757-e383c0057995/resource/1a50a644-11de-4584-ba14-475b40af2680,6.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/ac597ff8-ee13-48c3-b315-42e528090af2/resource/f005d5b2-7a16-4022-af6e-1a0773cb07a1,6.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/1b6139bd-ed7e-4043-bc28-ff00e10f3109,6.0,"Sep 1, 2026"
