Page_URL,Visits,day
search.open.canada.ca/opendata/,4929.0,"Sep 1, 2026"
open.canada.ca/en/open-government-licence-canada,882.0,"Sep 1, 2026"
open.canada.ca/en,785.0,"Sep 1, 2026"
search.open.canada.ca/grants/,757.0,"Sep 1, 2026"
search.open.canada.ca/contracts/,409.0,"Sep 1, 2026"
open.canada.ca/openmap/en.html,407.0,"Sep 1, 2026"
ouvert.canada.ca/fr,319.0,"Sep 1, 2026"
rechercher.ouvert.canada.ca/donneesouvertes/,293.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/90fed587-1364-4f33-a9ee-208181dc0b97,287.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/b27ec3ef-7338-4e76-a6fd-128339a92df5,202.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/b27ec3ef-7338-4e76-a6fd-128339a92df5/resource/945045fa-2de0-47d4-aad2-144d69467824,200.0,"Sep 1, 2026"
search.open.canada.ca/data/,198.0,"Sep 1, 2026"
open.canada.ca/en/proactive-disclosure,191.0,"Sep 1, 2026"
open.canada.ca/en/search/ati,159.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/6abd20d4-7a1c-4b38-baa2-9525d0bb2fd2,111.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/957782bf-847c-4644-a757-e383c0057995,109.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/7f5b2c8f-f3e8-47b2-a5b6-0f736f3613eb,103.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/dfa4daf1-669e-4514-82cd-982f27707ed0,83.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/4ee7a4e0-ffc3-47af-94e7-30929d1eeb67,82.0,"Sep 1, 2026"
search.open.canada.ca/qpnotes/record/cic%2CIRCC-2025-QP-00004,81.0,"Sep 1, 2026"
rechercher.ouvert.canada.ca/subventions/,77.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/f5c8a5a0-354d-455a-99ab-8276aa38032e,74.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/b0488a2e-e784-4b2d-aa88-3a4829b1d708,73.0,"Sep 1, 2026"
search.open.canada.ca/briefing_titles/,67.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/8c205edb-9a82-468e-9aa4-b82266cbaad6,64.0,"Sep 1, 2026"
rechercher.ouvert.canada.ca/contrats/,61.0,"Sep 1, 2026"
search.open.canada.ca/travel/,61.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/90115b00-f9b8-49e8-afa3-b4cff8facaee,61.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/adad580f-76b0-4502-bd05-20c125de9116,59.0,"Sep 1, 2026"
open.canada.ca/data/en/dataset/f7e5498e-0ad8-4417-85c9-9b8aff9b9eda,55.0,"Sep 1, 2026"
search.open.canada.ca/qpnotes/,49.0,"Sep 1, 2026"
