Page_URL,Visits,day
search.open.canada.ca/opendata/,31098.0,"Jan 1, 2026"
open.canada.ca/data/en/dataset/90fed587-1364-4f33-a9ee-208181dc0b97,411.0,"Jan 1, 2026"
open.canada.ca/en/open-government-licence-canada,353.0,"Jan 1, 2026"
search.open.canada.ca/contracts/,311.0,"Jan 1, 2026"
search.open.canada.ca/grants/,279.0,"Jan 1, 2026"
open.canada.ca/data/en/dataset/dfa4daf1-669e-4514-82cd-982f27707ed0,245.0,"Jan 1, 2026"
ouvert.canada.ca/data/fr/dataset,217.0,"Jan 1, 2026"
open.canada.ca/en,173.0,"Jan 1, 2026"
open.canada.ca/data/en/dataset/593e9165-c6ce-4f9b-b519-03d315f92cd4,155.0,"Jan 1, 2026"
open.canada.ca/data/en/dataset/52e4b14b-597a-4ecf-a184-23a6e69b0d57,154.0,"Jan 1, 2026"
open.canada.ca/data/en/dataset/b27ec3ef-7338-4e76-a6fd-128339a92df5,111.0,"Jan 1, 2026"
open.canada.ca/data/en/dataset/e6951cc4-ff29-52bf-af41-a162d52b1011,82.0,"Jan 1, 2026"
open.canada.ca/data/en/dataset/094c9b54-a1ca-4aad-935e-2541e5a23b3f,71.0,"Jan 1, 2026"
search.open.canada.ca/data/,70.0,"Jan 1, 2026"
open.canada.ca/data/en/dataset/e8785f41-2d3c-4dcc-a1ce-e70dac519b66,68.0,"Jan 1, 2026"
open.canada.ca/data/en/dataset/dfa4daf1-669e-4514-82cd-982f27707ed0/resource/a2f5faf4-07fe-4a3c-9bd3-62bbf11a426f,60.0,"Jan 1, 2026"
ouvert.canada.ca/data/fr/dataset/dfa4daf1-669e-4514-82cd-982f27707ed0,57.0,"Jan 1, 2026"
open.canada.ca/data/en/dataset/8ac48b04-47f7-4c91-b205-96b3af634270,52.0,"Jan 1, 2026"
open.canada.ca/data/en/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/28b9a549-2b64-4c40-8abe-e2ef3d29daa1,50.0,"Jan 1, 2026"
open.canada.ca/data/en/dataset/e547539b-7fc6-4879-be54-3d1f80ac9e9e,43.0,"Jan 1, 2026"
open.canada.ca/data/en/dataset/f7e5498e-0ad8-4417-85c9-9b8aff9b9eda,41.0,"Jan 1, 2026"
open.canada.ca/data/en/dataset/ab36a4ab-9b69-49b1-8be6-6faa3f0d0c67/resource/718097af-1116-4403-a262-496a7e90c4c3,38.0,"Jan 1, 2026"
open.canada.ca/data/en/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/fbfda891-5327-4e01-927e-0e0dd580d304,38.0,"Jan 1, 2026"
open.canada.ca/data/en/dataset/90115b00-f9b8-49e8-afa3-b4cff8facaee,38.0,"Jan 1, 2026"
open.canada.ca/en/proactive-disclosure,37.0,"Jan 1, 2026"
ouvert.canada.ca/fr/search/contrats,36.0,"Jan 1, 2026"
open.canada.ca/en/search/ati,35.0,"Jan 1, 2026"
open.canada.ca/data/en/dataset/c7413d9f-112e-4a26-bbd1-ae2711856629,34.0,"Jan 1, 2026"
open.canada.ca/data/en/dataset/dfa4daf1-669e-4514-82cd-982f27707ed0/resource/5d87eeb6-5305-4a0e-bc1d-fdf96e691749,34.0,"Jan 1, 2026"
open.canada.ca/data/en/dataset/b95a13c4-19f1-4821-96d0-c1c610ed7efe,32.0,"Jan 1, 2026"
open.canada.ca/data/en/dataset/094c9b54-a1ca-4aad-935e-2541e5a23b3f/resource/114ff18e-126e-4ccf-beb4-9add57a5753a,31.0,"Jan 1, 2026"
search.open.canada.ca/qpnotes/record/esdc-edsc%2CEWDDI-JUN2022-006,31.0,"Jan 1, 2026"
ouvert.canada.ca/data/dataset/e8785f41-2d3c-4dcc-a1ce-e70dac519b66,30.0,"Jan 1, 2026"
