Page_URL,Downloads,day
open.canada.ca/data/en/dataset/d9dbefff-89d7-4618-a824-8884e52f26cb/resource/37bbd554-125c-4705-b869-f26e7654f780,78.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/90fed587-1364-4f33-a9ee-208181dc0b97,76.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/1b6139bd-ed7e-4043-bc28-ff00e10f3109,45.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/ceb1ab5a-7d7c-4491-a2f7-560c47c4e22f/resource/648f0b3b-8d21-4373-94b4-72847dbf79a1,38.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/dc343c43-a592-4a27-8ee7-c77df56afb34,34.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/b27ec3ef-7338-4e76-a6fd-128339a92df5/resource/945045fa-2de0-47d4-aad2-144d69467824,34.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/dfa4daf1-669e-4514-82cd-982f27707ed0,33.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/1b6139bd-ed7e-4043-bc28-ff00e10f3109/resource/86483321-6c76-4a5f-9061-04b9a0a48a8d,32.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/06512c1b-d4a7-413f-bc1e-fc38de9f9aca,29.0,"Jun 1, 2026"
open.canada.ca/data/en/info/d9dbefff-89d7-4618-a824-8884e52f26cb,27.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/f5c8a5a0-354d-455a-99ab-8276aa38032e/resource/e5dcaf48-87d6-4ce1-b17a-35607916b640,27.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/e8a3fc19-6016-4c90-a5c0-eb35233d708e/resource/04b0ca5c-01e0-46ba-bd70-9d6a29e092ed,23.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/10ce43bd-fb58-4969-806b-4bffebc87bec,23.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/dfa4daf1-669e-4514-82cd-982f27707ed0/resource/a2f5faf4-07fe-4a3c-9bd3-62bbf11a426f,20.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/3a28dd68-e061-46f4-824f-053ad292ad89,19.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/6abd20d4-7a1c-4b38-baa2-9525d0bb2fd2,18.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/b27ec3ef-7338-4e76-a6fd-128339a92df5,18.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/791de1ec-7fc8-48f1-a4e4-8bbaebc67080,17.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/742b4dcb-b834-46c9-93b7-6878bb0ae295/resource/a56fc93a-c40c-458f-8e30-f4156cb6fc33,17.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/90115b00-f9b8-49e8-afa3-b4cff8facaee/resource/b505b9bc-d375-4525-af39-afdf25639acf,17.0,"Jun 1, 2026"
ouvert.canada.ca/data/fr/dataset/dfa4daf1-669e-4514-82cd-982f27707ed0,16.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/dfa4daf1-669e-4514-82cd-982f27707ed0/resource/f015e958-829b-44bb-b201-641584b818dd,16.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/adad580f-76b0-4502-bd05-20c125de9116/resource/9da94d63-b178-4a64-aeb3-b6a3bd721ad2,14.0,"Jun 1, 2026"
ouvert.canada.ca/data/fr/dataset/f7e5498e-0ad8-4417-85c9-9b8aff9b9eda,14.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/b6567c5c-8339-4055-99fa-63f92114d9e4,14.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/ceb1ab5a-7d7c-4491-a2f7-560c47c4e22f,13.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/3b7a821b-becc-4d96-9e39-0c2849f90c50,12.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/4fe645a1-ffcd-40c1-9385-2c771be956a4,12.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/f7e5498e-0ad8-4417-85c9-9b8aff9b9eda,12.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/90115b00-f9b8-49e8-afa3-b4cff8facaee,11.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/dfa4daf1-669e-4514-82cd-982f27707ed0/resource/5d87eeb6-5305-4a0e-bc1d-fdf96e691749,11.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/79fdad93-9025-49ad-ba16-c26d718cc070/resource/8e6f9c8b-7b8b-4692-a69f-a90d83b6a5ea,10.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/e8a3fc19-6016-4c90-a5c0-eb35233d708e,10.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/f7e5498e-0ad8-4417-85c9-9b8aff9b9eda/resource/d1c1f4f3-2d7f-4e02-9a79-7af98209c2f3,10.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/0032ce54-c5dd-4b66-99a0-320a7b5e99f2,9.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/1eb9eba7-71d1-4b30-9fb1-30cbdab7e63a,9.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/c7413d9f-112e-4a26-bbd1-ae2711856629/resource/7e5679e0-bd93-4fe2-871f-86a7bc2479b5,9.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/adad580f-76b0-4502-bd05-20c125de9116,8.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/23344072-7118-4715-84a9-daf630ec76c8/resource/4252857a-9e5f-47f9-98b1-1291e8f9f692,8.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/fbfda891-5327-4e01-927e-0e0dd580d304,8.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/1b6139bd-ed7e-4043-bc28-ff00e10f3109/resource/e1ffee62-58cb-4e3e-b359-115c658388ad,8.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/bd5dab03-02dc-4542-8e01-c04dca9a0337,8.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/f7e5498e-0ad8-4417-85c9-9b8aff9b9eda/resource/5582034d-8f89-49d5-8597-483d628078a1,8.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/c7413d9f-112e-4a26-bbd1-ae2711856629,8.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/f5c8a5a0-354d-455a-99ab-8276aa38032e,8.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/791de1ec-7fc8-48f1-a4e4-8bbaebc67080/resource/a709204d-5d3f-4f35-8414-a567b37ec872,8.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/2ce347e5-02fd-4487-975d-67a435efdf9b,7.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/7c2c4f85-7305-4bf9-8268-54626fe2cb2b/resource/84939ee5-a78b-48b6-b2a1-a5ded99e2830,7.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/360024f2-17e9-4558-bfc1-3616485d65b9,7.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/91ed76b4-a1a2-4f87-9c4c-59cd64f7a9de/resource/d0f6040e-671c-4301-a235-e9e7ba164604,7.0,"Jun 1, 2026"
ouvert.canada.ca/data/fr/dataset/98f1a129-f628-4ce4-b24d-6f16bf24dd64,7.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/fe945388-1dd9-4a4a-9a1e-5c552579a28c,7.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/742b4dcb-b834-46c9-93b7-6878bb0ae295,7.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/91ed76b4-a1a2-4f87-9c4c-59cd64f7a9de,7.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/b27ec3ef-7338-4e76-a6fd-128339a92df5/resource/2282e8c7-f949-454d-9c34-b6a78d94b162,7.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/094c9b54-a1ca-4aad-935e-2541e5a23b3f/resource/96afd472-924d-4af2-971c-bb7aade8989e,7.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/1b6139bd-ed7e-4043-bc28-ff00e10f3109/resource/e0cafc22-f564-4524-b82a-9ad7554f57ef,7.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/80c00cdb-1358-415c-bb8b-0de7f12675b8,6.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/809e4442-983a-4943-a2a0-382ba39c227a/resource/f7070ecc-fe41-4490-88b0-e1f8b69fcd79,6.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/90115b00-f9b8-49e8-afa3-b4cff8facaee/resource/d3702eb4-5ef4-412f-86fd-219e6b8f5fdc,6.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/957782bf-847c-4644-a757-e383c0057995,6.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/522d1b67-30d8-4a34-9b62-5da99b1035e6,6.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/d38de914-c94c-429b-8ab1-8776c31643e3/resource/7143f1c9-e270-4ae0-9466-7f7485250a8e,6.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/588eab5b-7b16-4a26-b996-23b955965ffa,6.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/2909a648-5753-4924-878a-b069392d9cde,6.0,"Jun 1, 2026"
ouvert.canada.ca/data/fr/dataset/800106c1-0b08-401e-8be2-ac45d62e662e,6.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/800106c1-0b08-401e-8be2-ac45d62e662e,6.0,"Jun 1, 2026"
open.canada.ca/data/dataset/913f8940-036a-45f2-a5f2-19bde76c1252,5.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/6abd20d4-7a1c-4b38-baa2-9525d0bb2fd2/resource/5870de7c-86fe-4d05-8d73-cd412e12fdeb,5.0,"Jun 1, 2026"
ouvert.canada.ca/data/fr/dataset/d9dbefff-89d7-4618-a824-8884e52f26cb/resource/abd6caeb-0878-4eb2-b50c-a081b1167af8,5.0,"Jun 1, 2026"
ouvert.canada.ca/data/fr/dataset/dfa4daf1-669e-4514-82cd-982f27707ed0/resource/f015e958-829b-44bb-b201-641584b818dd,5.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/957782bf-847c-4644-a757-e383c0057995/resource/e47dfedf-4d65-4526-aa23-87e40d8583ae,5.0,"Jun 1, 2026"
