date,pd_type,pd_count
Thu 09 Nov 2023,wrongdoing,46
Thu 09 Nov 2023,travelq_nil,1947
Thu 09 Nov 2023,travelq,91093
Thu 09 Nov 2023,travela,444
Thu 09 Nov 2023,transition_deputy,45
Thu 09 Nov 2023,transition,61
Thu 09 Nov 2023,reclassification_nil,836
Thu 09 Nov 2023,reclassification,11065
Thu 09 Nov 2023,qpnotes,4751
Thu 09 Nov 2023,parliament_report,329
Thu 09 Nov 2023,parliament_committee_deputy,226
Thu 09 Nov 2023,parliament_committee,265
Thu 09 Nov 2023,hospitalityq_nil,3174
Thu 09 Nov 2023,hospitalityq,22449
Thu 09 Nov 2023,grants_nil,167
Thu 09 Nov 2023,grants,949177
Thu 09 Nov 2023,dac,2797
Thu 09 Nov 2023,contractsa,392
Thu 09 Nov 2023,contracts_nil,74
Thu 09 Nov 2023,contracts,1036237
Thu 09 Nov 2023,briefingt,99001
Thu 09 Nov 2023,ati_nil,2738
Thu 09 Nov 2023,ati_all,165646
Thu 09 Nov 2023,adminaircraft,20
